GEO_CODE_(POR),GEO_NAME,GEO_CODE_(POW),GEO_NAME,Dim:_Sex_(3):_Member_ID:_[1]:_Total_-_Sex,Dim:_Sex_(3):_Member_ID:_[2]:_Male,Dim:_Sex_(3):_Member_ID:_[3]:_Female
3507052,Merrickville-Wolford,3507065,North_Grenville,160,60,105
3507052,Merrickville-Wolford,3507052,Merrickville-Wolford,230,80,150
3507052,Merrickville-Wolford,3507015,Brockville,95,30,65
3507052,Merrickville-Wolford,3507014,Elizabethtown-Kitley,20,0,15
3507052,Merrickville-Wolford,3506008,Ottawa,375,195,180
3507065,North_Grenville,3509030,Mississippi_Mills,25,10,10
3507065,North_Grenville,3509021,Perth,20,10,10
3507065,North_Grenville,3509004,Smiths_Falls,75,35,40
3507065,North_Grenville,3507065,North_Grenville,1945,755,1190
3507065,North_Grenville,3507052,Merrickville-Wolford,70,30,35
3507065,North_Grenville,3507015,Brockville,85,35,55
3507065,North_Grenville,3507014,Elizabethtown-Kitley,40,25,15
3507065,North_Grenville,3507008,Prescott,65,25,40
3507065,North_Grenville,3507004,Edwardsburgh_Cardinal,25,10,15
3507065,North_Grenville,3506008,Ottawa,3655,1905,1750
3507065,North_Grenville,3501030,North_Dundas,105,40,70
3507065,North_Grenville,3501020,South_Dundas,40,35,0
3509001,Montague,3509030,Mississippi_Mills,20,0,20
3509001,Montague,3509028,Carleton_Place,80,20,60
3509001,Montague,3509024,Beckwith,25,10,10
3509001,Montague,3509021,Perth,90,45,45
3509001,Montague,3509010,Drummond_North_Elmsley,25,15,10
3509001,Montague,3509004,Smiths_Falls,380,140,245
3509001,Montague,3509001,Montague,70,40,30
3509001,Montague,3507065,North_Grenville,35,15,20
3509001,Montague,3507052,Merrickville-Wolford,60,25,35
3509001,Montague,3507015,Brockville,25,10,20
3509001,Montague,3506008,Ottawa,590,345,245
3509004,Smiths_Falls,3510010,Kingston,30,15,15
3509004,Smiths_Falls,3509030,Mississippi_Mills,45,15,30
3509004,Smiths_Falls,3509028,Carleton_Place,85,20,70
3509004,Smiths_Falls,3509021,Perth,270,140,130
3509004,Smiths_Falls,3509015,Tay_Valley,35,10,25
3509004,Smiths_Falls,3509010,Drummond_North_Elmsley,25,10,20
3509004,Smiths_Falls,3509004,Smiths_Falls,1520,640,880
3509004,Smiths_Falls,3509001,Montague,40,25,15
3509004,Smiths_Falls,3507065,North_Grenville,60,40,25
3509004,Smiths_Falls,3507052,Merrickville-Wolford,65,25,40
3509004,Smiths_Falls,3507040,Rideau_Lakes,45,20,30
3509004,Smiths_Falls,3507015,Brockville,60,35,25
3509004,Smiths_Falls,3506008,Ottawa,440,250,190
3509010,Drummond_North_Elmsley,3510010,Kingston,25,20,10
